"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"17";"Herr";"";"Emerich";"Lipps";"";"Marschnerstraße";"116";"54673";"Scheitenkorb";"06564/35870657";"0166/8511714";"";"emerich_lipps@goggle-mail.none";"";"06.07.1957"
"18";"Frau";"";"Annedorle";"Luber";"";"Wischhausstraße";"200";"24989";"Dollerup";"04636/38747200";"0179/4013668";"";"annedorle.luber@anymail.none";"";"28.01.1991"
"19";"Frau";"";"Anastasia";"Weißmann";"";"In Steckenborn";"177";"38378";"Warberg";"05355/79214518";"";"";"anastasia-weissmann@xyz.none";"";"03.06.2018"
"20";"Herr";"";"Hilar";"Angenendt";"09.02.1936";"Schlesierring";"114";"48249";"Buldern";"02590/72208524";"0172/3052748";"";"hilar.angenendt@trashmail.none";"";"04.05.1941"
"21";"Frau";"";"Heide";"Gierl";"";"Kantstraße";"40";"78120";"Furtwangen";"";"";"";"heidegierl@xyz.none";"";"24.08.1954"
"22";"Frau";"";"Friedlies";"Mertins";"";"Huf";"193";"41751";"Viersen";"02162/21399348";"0167/7902456";"02162/92473335";"f.mertins@mymail.none";"ja";"08.12.2021"
"23";"Frau";"";"Wilhelmine";"Stark";"";"Dreyer Straße";"159";"56332";"Brodenbach";"";"0167/3003405";"";"wilhelmine-stark@private.none";"";"26.07.2019"
"24";"Herr";"";"Heiner";"Strohm";"05.02.1997";"Industriegebiet";"51 b";"24996";"Ahneby";"04637/25529199";"";"";"h.strohm@open-mail.none";"";"03.04.2001"
"25";"Frau";"";"Madita";"Neuer";"";"Schwammenaueler Straße";"183";"64823";"Groß-Umstadt";"06078/40491602";"0161/8838087";"";"madita-neuer@anymail.none";"ja";"28.01.1990"
"26";"Frau";"";"Angelina";"Franzke";"01.01.1978";"Hörster";"54";"87755";"Kirchhaslach";"";"0172/5694001";"";"a_franzke@inter-mail.none";"";"31.10.1982"
"27";"Herr";"";"Sixtus";"Korf";"";"Am Sportplatz";"174";"65594";"Runkel";"";"0156/1271305";"";"sixtus-1996@open-mail.none";"";"05.10.2014"
"28";"k.A.";"";"Sina";"Lamparter";"";"Naunheimer Straße";"44";"48268";"Greven";"02571/53666719";"0166/5705570";"";"s_lamparter@goggle-mail.none";"";"12.09.1940"
"29";"Herr";"";"Dietmar";"Vogeler";"";"Salmgasse";"146";"37124";"Rosdorf";"0551/47758827";"";"";"dietmarvogeler@company.none";"ja";"03.01.1926"
"30";"Herr";"";"Gottwaldt";"Meiler";"";"Pyrmonter Straße";"158";"56357";"Oelsberg";"";"";"";"gottwaldt_meiler@hoster.none";"";"19.09.1972"
"31";"Herr";"";"Ekhard";"Thümmler";"";"Stotzheimer Straße";"192";"36284";"Hohenroda";"06676/27405624";"0179/6912288";"";"ekhard34@xyz.none";"ja";"14.03.1968"
"32";"k.A.";"";"Anneruth";"Lohner";"27.12.1933";"Am Hohenrain";"74";"63179";"Obertshausen";"";"0178/1752928";"";"a-lohner@hoster.none";"";"17.09.2001"
"33";"Frau";"";"Bernhild";"McCoy";"";"Am Vogelsbaum";"56";"29488";"Lübbow";"05843/39450966";"";"";"";"nein";"04.06.1992"
"34";"Frau";"";"Sybilla";"Jankowiak";"10.02.2016";"Hofackerstraße";"67";"56479";"Oberrod";"02664/57034027";"0165/6383901";"";"sybilla-jankowiak@domain.none";"ja";"06.07.2021"
"35";"Frau";"";"Waltraut";"Rill";"";"Kriegerweg";"85";"27798";"Hude";"";"";"";"waltraut-63@email.none";"";"27.02.1974"
"36";"Frau";"Dr.";"Hiltraut";"Illgen";"";"Schimmelbuschstraße";"89";"83627";"Warngau";"08021/66990878";"0174/5700592";"";"";"ja";"06.05.2021"
"37";"k.A.";"";"Ilsegret";"Balci";"16.10.1934";"Allensteiner Weg";"133";"56767";"Kötterichen";"02692/35960473";"0173/6697217";"";"i1934@funmail.none";"";"14.08.2010"
"38";"Herr";"";"Wolfgünter";"Luna";"10.04.1945";"Lise-Meitner-Straße";"155 b";"56651";"Niederzissen";"02636/87633083";"";"";"wolfguenter1945@domain.none";"";"18.08.1953"
"39";"Frau";"";"Resel";"Stutz";"";"Borngarten";"157";"64711";"Erbach";"06062/18192320";"0176/9952215";"";"r.2018@goggle-mail.none";"ja";"29.06.2022"
"40";"k.A.";"";"Adelfried";"Eibl";"";"In der Eichwies";"128";"25704";"Nordermeldorf";"04832/91896377";"0159/4956897";"";"";"ja";"19.11.2021"
"41";"Frau";"";"Mechtilde";"Lipps";"";"Auf der Huth";"72";"54424";"Etgert";"06504/85863417";"0167/4327527";"";"mechtildelipps@validmail.none";"";"14.12.1955"
"42";"Herr";"";"Heino";"Klötzer";"";"Am Großen Kamp";"163";"56237";"Alsbach";"";"0158/9809549";"";"heino-16@xyz.none";"";"10.04.2001"
"43";"Herr";"";"Cornelius";"Bertz";"";"Dernbacher Straße";"34";"38387";"Söllingen";"";"0170/7911921";"";"cornelius.49@funmail.none";"";"28.10.1950"
"44";"k.A.";"";"Gundhard";"Rippe";"";"Marienbaumer Straße";"155";"69517";"Gorxheimertal";"06201/59229947";"";"06201/7723198";"g.1954@anymail.none";"ja";"06.08.2000"
"45";"Herr";"";"Withold";"Bartke";"";"Ebbingshof";"145";"54441";"Kastel-Staadt";"06581/61713306";"0164/7352584";"";"withold.bartke@ultramail.none";"";"01.04.1988"
"46";"Frau";"";"Betti";"Helms";"";"Alleestraße";"101";"54427";"Kell am See";"";"";"";"betti_helms@web.none";"";"27.01.2011"
"47";"Frau";"";"Josefine";"Hirschmann";"";"Am Bölsbach";"48";"24148";"Kiel";"";"0170/9789879";"";"josefine_hirschmann@hoster.none";"";"22.05.1927"
"48";"Herr";"";"Helmar";"Dießner";"";"Am Schulgarten";"40";"39307";"Brettin";"03933/59086241";"0165/4737599";"";"";"";"17.02.2019"
"49";"Frau";"";"Celine";"Reineke";"";"Rothenbergstraße";"50";"25524";"Oelixdorf";"";"0164/7711488";"";"c-reineke@inter-mail.none";"nein";"22.06.1973"
"50";"Frau";"";"Roselene";"Gehlert";"";"Sebastian-Kneipp-Straße";"132";"48465";"Quendorf";"05923/61120843";"0162/6070945";"";"roselenegehlert@private.none";"";"31.10.1959"
"51";"Herr";"";"Sonnhard";"Gentz";"";"Im Wiesengrund";"190";"56858";"Altlay";"06543/87949514";"0154/2215168";"";"sonnhard.gentz@mymail.none";"";"02.03.1963"
"52";"Frau";"";"Emilia";"Gilles";"";"Wiesenhof";"126";"23883";"Brunsmark";"04547/61294232";"0159/7716247";"04547/64906644";"";"";"06.02.2023"
"53";"Herr";"";"Burgfried";"Vaughn";"";"Hochstraße";"23";"74626";"Bretzfeld";"07946/13097436";"0173/1511303";"";"burgfriedvaughn@open-mail.none";"ja";"22.12.2008"
"54";"Herr";"";"Lois";"Bunte";"";"Widdeshovener Straße";"180 b";"85659";"Forstern";"";"0156/3144421";"";"lois_bunte@private.none";"ja";"13.08.1982"
"55";"Frau";"";"Annerike";"Durmus";"";"Habichtstraße";"98";"51381";"Leverkusen";"0214/63781065";"";"";"annerike_durmus@kitty.none";"";"22.06.1959"
"56";"Herr";"";"Eitelbert";"Niedermaier";"31.01.1975";"Pilsgasse";"187";"44534";"Lünen";"";"";"";"eitelbert.75@private.none";"";"06.10.1986"
"57";"Frau";"";"Kreszenzia";"Heckmann";"";"Karolinger Straße";"116";"72116";"Mössingen";"07473/6705135";"";"07473/61424151";"k_heckmann@domain.none";"ja";"18.08.2000"
"58";"Herr";"";"Dustin";"Glass";"";"Buggenbeck";"200";"60439";"Frankfurt am Main";"069/9894425";"";"";"d1944@open-mail.none";"ja";"06.08.1973"
"59";"Herr";"";"Olaf";"Gemeinhardt";"";"Gerhard-Storm-Straße";"195";"85467";"Neuching";"08123/25023953";"";"";"";"";"10.10.2014"
"60";"Frau";"";"Heimgard";"Schirm";"07.06.1967";"Nelly-Sachs-Straße";"20";"15344";"Strausberg";"03341/4588946";"0159/8420545";"";"heimgard-schirm@company.none";"";"28.10.2013"
"61";"Herr";"";"Arnim";"Hudson";"";"Herzogstraße";"74";"56244";"Niedersayn";"";"0161/4037763";"";"arnim.hudson@live-mail.none";"ja";"29.01.2014"
"62";"Frau";"";"Friedegard";"Kocher";"26.09.1966";"Im Eichengrund";"84";"84088";"Neufahrn";"08773/82960916";"0171/8163455";"";"";"ja";"21.01.2003"
"63";"Herr";"";"Steve";"Löchel";"";"Im Kreuztal";"85";"83556";"Griesstätt";"";"";"";"steve-loechel@anymail.none";"";"04.09.2018"
"64";"Frau";"Dr.";"Friderike";"Stenz";"";"Obere Pfannstraße";"198";"72770";"Gönningen";"";"0156/1556406";"";"fstenz@bestmail.none";"";"02.04.2017"
"65";"Herr";"";"Heimfrid";"Speckmann";"";"Wester";"174";"49080";"Osnabrück";"";"0157/7131001";"";"";"";"22.05.1994"
"66";"Herr";"";"Hildebrand";"Tauer";"01.12.1983";"Koblenzer Straße";"49";"67141";"Neuhofen";"";"0160/2523671";"";"h.1983@goggle-mail.none";"ja";"12.01.2017"
"67";"Herr";"";"Bernhart";"Ceylan";"";"Lippweg";"162";"56244";"Maxsain";"02626/48707884";"0174/8326409";"";"bernhart.ceylan@anymail.none";"";"13.06.1982"
"68";"Herr";"";"Conner";"Gutierrez";"";"Am Breitstück";"175";"83126";"Flintsbach am Inn";"";"0167/8278992";"08034/76693158";"";"";"30.01.2023"
"69";"Herr";"";"Diethardt";"Klöpper";"";"Goetheweg";"100";"72379";"Hechingen";"07471/67275792";"0167/6911873";"";"d.kloepper@private.none";"ja";"26.12.2016"
"70";"Frau";"";"Lindhilde";"Menne";"";"Hallenstraße";"65";"79104";"Freiburg";"0761/77253193";"0174/1920064";"";"lindhilde.menne@domain.none";"";"08.05.1998"
"71";"Herr";"";"Manfried";"Koss";"15.11.1971";"Im Unteren Marktfeld";"71";"65329";"Hohenstein";"06120/68276443";"0173/1193745";"";"";"";"09.03.2014"
"72";"Herr";"";"Siegenot";"Berberich";"";"Königsheide";"19";"37649";"Heinsen";"05535/26214475";"0166/2078845";"";"s_51@spam-mail.none";"";"10.04.2005"
"73";"Herr";"";"Erfried";"Drumm";"12.05.2013";"Krumme Eiche";"194";"65627";"Elbtal";"";"";"";"e_drumm@hoster.none";"ja";"06.07.2016"
"74";"k.A.";"";"Burghard";"Schweitzer";"";"Ostring";"75";"67059";"Ludwigshafen am Rhein";"0621/92737457";"";"0621/8391256";"burghard00@live-mail.none";"";"14.10.2021"
"75";"Frau";"";"Ricarda";"Koppenhöfer";"";"Weinberg";"174";"54518";"Altrich";"06571/75751389";"0171/5748143";"";"r-koppenhoefer@hoster.none";"";"11.02.2019"
"76";"Herr";"";"Mayk";"Schreck";"";"Moorenstraße";"65";"39116";"Magdeburg";"0391/22755596";"";"";"mschreck@funmail.none";"";"14.08.1966"
"77";"Frau";"";"Rosegret";"Saupe";"";"Kastanienweg";"200";"66989";"Höheinöd";"06333/99557281";"0156/1619624";"";"";"";"24.02.2002"
"78";"Herr";"";"Edmund";"Städtler";"";"Osterwicker Straße";"38";"60325";"Frankfurt am Main";"";"0170/6581611";"";"e.staedtler@spam-mail.none";"ja";"07.02.2020"
"79";"Herr";"Dr.";"Jannick";"Wiedemann";"";"Kamp";"144";"91281";"Kirchenthumbach";"09647/71181223";"0171/7463609";"";"";"";"07.11.2022"
"80";"Herr";"";"Bodo";"Irle";"";"Montanusstraße";"55";"83342";"Tacherting";"08621/86062992";"0164/4142623";"";"bodo.40@web.none";"";"03.12.1996"
"81";"k.A.";"Prof. Dr.";"Winfriede";"Pluta";"";"Zechenwaldstraße";"148";"25704";"Wolmersdorf";"04832/32902730";"0154/9024811";"";"winfriedepluta@retromail.none";"ja";"22.10.1946"
"82";"Frau";"";"Freya";"Breuer";"";"Peter-Dausenau-Straße";"153a";"82449";"Uffing am Staffelsee";"08846/54885595";"0165/8838520";"08846/63293428";"freyabreuer@live-mail.none";"ja";"09.05.2002"
"83";"Herr";"Prof. Dr.";"Kunibert";"Nehring";"";"Richard-Bertram-Straße";"40 a";"84101";"Obersüßbach";"08708/64212823";"0154/4618101";"";"k.21@trashmail.none";"ja";"24.02.1941"
"84";"k.A.";"";"Sophie";"Glade";"";"Kurtstraße";"72";"56341";"Filsen";"06773/68716409";"0175/1627866";"06773/71410200";"";"";"29.09.1941"
"85";"Herr";"";"Rafael";"Bäumler";"";"Ederener Straße";"135";"79694";"Utzenfeld";"07673/78206888";"0168/7944111";"";"rafaelbaeumler@private.none";"";"16.11.1988"
"86";"Herr";"";"Wendelin";"Gürtler";"";"Otternbuchtstraße";"95";"72669";"Unterensingen";"07022/47378315";"0176/1115437";"";"wendelin-guertler@xyz.none";"";"27.12.1957"
"87";"Herr";"";"Adelbert";"Schoon";"";"Hohe Oststraße";"12";"56858";"Belg";"";"";"";"adelbert-1954@mymail.none";"nein";"18.02.1972"
"88";"Herr";"";"Leo";"Mehl";"";"Hirschbachstraße";"6";"27324";"Hassel";"04254/91883761";"0162/3797380";"";"leo_mehl@trashmail.none";"ja";"03.02.1963"
"89";"Frau";"";"Gerdhild";"Bergemann";"";"Albert-Schweitzer-Weg";"61";"67281";"Kirchheim an der Weinstraße";"06359/11611536";"0177/4927172";"";"gerdhild.bergemann@spam-mail.none";"nein";"09.09.1994"
"90";"Frau";"";"Katja";"Wickert";"";"Vom-Stein-Straße";"191";"25548";"Kellinghusen";"";"";"";"";"";"02.04.2018"
"91";"Herr";"";"Welf";"Kalkbrenner";"";"Obere Straße";"55";"27412";"Kirchtimke";"04289/32370876";"";"";"w.69@domain.none";"";"06.04.1994"
"92";"k.A.";"";"Arwid";"Amon";"";"Marienbader Straße";"111";"21255";"Kakenstorf";"04182/70226836";"";"";"";"";"19.04.1951"
"93";"Herr";"";"Kasimir";"Tomczak";"";"Kalkstraße";"80";"82418";"Riegsee";"08841/25181952";"0165/1310750";"";"";"";"01.10.2000"
"94";"Herr";"";"Detlev";"Lettau";"28.07.1935";"Mühlenstiege";"152";"49584";"Fürstenau";"";"0155/6833749";"";"d_lettau@mymail.none";"ja";"10.07.2011"
"95";"Herr";"";"Gundolf";"Bieder";"";"Wolfhagenstraße";"33";"79804";"Dogern";"";"0162/2290572";"";"gundolf.bieder@retromail.none";"";"25.08.2004"
"96";"Herr";"";"Kay";"Willeke";"14.09.1943";"Im Bockeloh";"82";"54441";"Wellen";"06501/99376956";"0166/8422688";"";"kay.willeke@kitty.none";"nein";"02.08.1978"
"97";"Frau";"";"Burglind";"Pasch";"";"Justus-von-Liebig-Straße";"92";"76356";"Weingarten";"07244/99653863";"";"";"burglind.pasch@validmail.none";"";"12.03.2015"
"98";"Frau";"";"Annegret";"Köller";"11.11.1909";"Schlegelstraße";"147";"74740";"Adelsheim";"06291/77550447";"0162/6134323";"";"annegret-09@validmail.none";"ja";"10.10.2013"
"99";"k.A.";"Dr.";"Kora";"Pflüger";"";"In der Waldemey";"140";"79692";"Tegernau";"07629/91708683";"0176/4782098";"07629/55349995";"kora-1933@funmail.none";"ja";"07.06.1943"
"100";"k.A.";"";"Dominic";"Kaltenecker";"";"Marientalstraße";"118";"54538";"Diefenbach";"06541/9800059";"0169/2882590";"";"";"";"15.06.2022"
"101";"k.A.";"";"Kreszenz";"Kolter";"";"Rüllbachstraße";"111";"17089";"Gültz";"03965/57944269";"0157/6515738";"";"kreszenz-76@private.none";"";"02.05.2012"
"102";"Herr";"";"Dietwald";"Münzel";"";"Braunschweiger Straße";"154";"53520";"Ohlenhard";"";"0151/6814390";"";"";"";"27.01.1924"
"103";"Frau";"";"Chantale";"Buntrock";"";"Horresser Straße";"162";"44629";"Herne";"02323/21715626";"";"";"chantalebuntrock@hoster.none";"ja";"06.09.2005"
"104";"Frau";"";"Benedikta";"Völz";"";"Pestelstraße";"80";"56076";"Koblenz am Rhein";"";"";"";"benediktavoelz@kitty.none";"";"23.08.1952"
"105";"k.A.";"";"Sigfried";"Fahrner";"";"Junkerstraße";"118";"23717";"Kasseedorf";"04528/80248229";"0166/7405776";"";"sigfried.fahrner@hoster.none";"";"24.07.2003"
"106";"Frau";"";"Smilla";"Timmermann";"13.08.2008";"Langenharmer Weg";"113";"29476";"Gusborn";"05865/78676292";"0154/9342460";"05865/27827552";"smilla_08@mymail.none";"";"19.06.2009"
"107";"Frau";"";"Elisa";"Lanfermann";"";"Heiligenkamp";"129";"72770";"Gönningen";"07121/89764065";"";"";"elisa.lanfermann@justmail.none";"ja";"23.07.2000"
"108";"Herr";"";"Bartholomäus";"Röhling";"";"Roßstraße";"187";"64807";"Dieburg";"06071/41087356";"0162/9643213";"";"b_roehling@anymail.none";"";"20.06.1953"
"109";"k.A.";"";"Ramona";"Ruder";"03.11.2017";"Am Kampe";"98 c";"39130";"Magdeburg";"0391/98601847";"";"0391/22005179";"ramona_ruder@domain.none";"nein";"02.06.2022"
"110";"Herr";"";"Erfried";"Melchers";"";"Roßberg";"68";"56291";"Hausbay";"06747/45167578";"";"";"erfried.melchers@live-mail.none";"ja";"12.07.2011"
"111";"Frau";"";"Irmlinde";"Faltermeier";"";"Dielkopfweg";"4";"73469";"Riesbürg";"09081/70938093";"";"";"irmlinde_faltermeier@justmail.none";"";"27.12.2022"
"112";"Frau";"";"Raingardis";"Rochow";"";"Auf dem Köllenhof";"165";"95517";"Emtmannsberg";"09209/11260916";"0165/6769258";"";"raingardis_rochow@bestmail.none";"nein";"19.05.1971"
"113";"Frau";"";"Reinfriede";"Hofmann";"";"Kluckstraße";"90";"78564";"Reichenbach am Heuberg";"07429/38166809";"0154/7957085";"";"r.hofmann@live-mail.none";"";"27.03.2016"
"114";"Herr";"";"Sieghard";"Klingebiel";"31.08.1906";"Brauckstraße";"170";"77972";"Mahlberg";"";"0167/3807144";"";"sieghard.klingebiel@validmail.none";"";"23.03.1938"
"115";"k.A.";"";"Annett";"Kulke";"";"Heidenburgstraße";"112";"53123";"Bonn";"0228/55218085";"0159/8275418";"";"annett01@trashmail.none";"";"17.09.2007"
"116";"Frau";"";"Burghilde";"Peterson";"";"Wertenbruch";"200";"86916";"Kaufering";"";"0171/6089444";"";"burghilde_1919@live-mail.none";"";"16.10.2005"
"117";"k.A.";"";"Oliver";"Gerding";"";"Edinger Straße";"71";"66482";"Zweibrücken";"";"0164/7029937";"";"olivergerding@funmail.none";"";"19.06.2011"
"118";"Herr";"";"Dankward";"Leifeld";"";"Espelsweg";"147";"67808";"Steinbach am Donnersberg";"06302/79967493";"0171/6035053";"";"";"";"16.12.2015"
"119";"Frau";"Dr.";"Utta";"Dotzauer";"24.09.1954";"Helmholtzstraße";"3";"85135";"Titting";"08423/97724234";"0153/9363410";"";"utta.dotzauer@inter-mail.none";"ja";"19.02.1971"
"120";"Frau";"";"Jasmin";"Greulich";"07.09.2019";"Laurenzstraße";"171";"26892";"Kluse";"04963/23960337";"";"";"jasmingreulich@goggle-mail.none";"";"05.04.2021"
"121";"Frau";"";"Annelene";"Beer";"";"Obere Ackerstraße";"57";"37619";"Kirchbrak";"05533/12301607";"";"";"annelene_beer@mymail.none";"ja";"09.12.2019"
"122";"Herr";"";"Rudi";"Gerstner";"";"Kruppstraße";"152";"56412";"Ruppach-Goldhausen";"02602/78990994";"0173/8003835";"";"r_gerstner@company.none";"";"23.05.1989"
"123";"Frau";"";"Lili";"Bayerlein";"18.01.1948";"Max-Reger-Straße";"19";"67732";"Hirschhorn";"06308/40716522";"0160/1542079";"";"lili.bayerlein@mymail.none";"";"23.08.1980"
"124";"Frau";"";"Hiltraut";"Liebing";"";"Servatiusstraße";"90";"42275";"Wuppertal";"0202/57465558";"0165/2657923";"";"hiltraut56@inter-mail.none";"";"09.01.2003"
"125";"Frau";"";"Diana";"Eisen";"";"Obertorstraße";"74";"76287";"Rheinstetten";"07242/48843163";"0158/1324978";"";"diana.eisen@quickmail.none";"";"14.05.1985"
"126";"Frau";"";"Bianka";"Seliger";"";"Neuenhaus";"79b";"31627";"Rohrsen";"05024/13234367";"";"";"";"";"25.03.1997"
"127";"Frau";"";"Thekla";"Lochmann";"09.04.1964";"St.-Martin-Straße";"46";"67227";"Frankenthal";"06233/29280268";"0160/9475152";"";"thekla-lochmann@retromail.none";"";"23.04.1998"
"128";"Herr";"";"Wolfbert";"Ecke";"30.01.1991";"Engerstraße";"29";"54668";"Niederweis";"06525/52296205";"0158/8649800";"";"wolfbert-1991@spam-mail.none";"";"21.11.1997"
"129";"Frau";"";"Wanda";"Mieth";"";"Layweg";"127";"67700";"Niederkirchen";"06363/2039990";"0151/9186005";"";"";"";"07.12.1980"
"130";"Frau";"";"Sieglinde";"Mauer";"12.11.1948";"Weidenfeld";"76";"86559";"Adelzhausen";"08258/15351246";"0157/9358014";"08258/45608908";"s_mauer@net-mail.none";"";"14.03.1955"
"131";"Herr";"";"Runald";"Fingerhut";"24.03.1986";"Gerh.-Hauptmann-Straße";"189";"66128";"Saarbrücken";"0681/74632767";"0164/2284202";"";"runald_fingerhut@net-mail.none";"";"30.11.2010"
"132";"Herr";"";"Dankwart";"Mies";"";"Bozener Straße";"9";"67745";"Grumbach";"06382/2374952";"0151/8185853";"";"dankwart_mies@live-mail.none";"";"28.09.1984"
"133";"Frau";"";"Waldburgis";"Strickland";"06.06.1937";"Fritz-Windisch-Straße";"170";"26605";"Aurich";"04941/6238969";"0159/7270390";"";"waldburgis-strickland@retromail.none";"ja";"10.11.2008"
"134";"Frau";"";"Lidia";"Flügel";"";"John-Brinckman-Straße";"166";"41061";"Mönchengladbach";"02161/77693684";"0173/9289241";"";"lidia17@quickmail.none";"";"26.12.2020"
"135";"k.A.";"";"Gottfrieda";"Demski";"21.03.1989";"Klingenhagener Straße";"164";"19288";"Göhlen";"";"0173/9949332";"";"g.demski@trashmail.none";"";"15.10.2016"
"136";"k.A.";"";"Herlinde";"Hanses";"";"Buchenstraße";"50";"58579";"Schalksmühle";"02355/59060697";"0153/3429980";"";"";"";"26.07.2000"
"137";"Herr";"";"Erkmar";"Ralf";"10.09.1984";"Heuslingstraße";"28";"88422";"Oggelshausen";"07582/3290782";"0168/8214342";"07582/66294928";"eralf@private.none";"";"27.08.2001"
"138";"Frau";"";"Kirsten";"Wacker";"18.07.1980";"Grünewaldstraße";"39";"66957";"Trulben";"06335/66748563";"";"";"k.wacker@private.none";"";"29.09.1987"
"139";"Herr";"";"Mario";"Herda";"";"Hüblinger Straße";"153";"74937";"Spechbach";"06226/39566859";"0157/7282772";"06226/33250775";"m-herda@open-mail.none";"";"18.07.2021"
"140";"Frau";"";"Mona";"Hefter";"";"Hunsrückstraße";"141";"72379";"Hechingen";"07471/83719230";"";"07471/56773878";"";"ja";"29.11.2011"
"141";"Herr";"";"Friedhardt";"Beierlein";"12.10.1999";"Karpfenweg";"65";"23896";"Poggensee";"";"";"";"f1999@trashmail.none";"";"14.04.2003"
"142";"Frau";"";"Milena";"Rasmussen";"";"Im Dickfeld";"28";"86517";"Wehringen";"08234/70875942";"0162/9035091";"";"milenarasmussen@ultramail.none";"";"17.07.2017"
"143";"k.A.";"";"Hella";"Klisch";"09.04.2021";"Franz-Peter-Kürten-Weg";"35";"96123";"Naisa";"";"0159/2654931";"";"h.klisch@domain.none";"";"01.05.2021"
"144";"Herr";"";"Bartholomäus";"Denninger";"";"Schadowstraße";"37";"64367";"Mühltal";"";"0159/4557254";"";"b-1927@net-mail.none";"";"24.02.1942"
"145";"Frau";"";"Dorlinde";"Juric";"";"Usinger Straße";"36";"75305";"Neuenbürg";"07082/66744115";"0161/3028543";"";"d_juric@funmail.none";"ja";"02.10.2005"
"146";"Herr";"";"Reinald";"Henrichs";"";"Jungstraße";"83";"71579";"Spiegelberg";"07194/66740485";"";"";"";"ja";"16.05.1923"
"147";"k.A.";"";"Grete";"Strothmann";"";"Neuhofer Straße";"95";"52441";"Ederen";"02462/89227379";"0172/3813428";"";"gretestrothmann@company.none";"";"21.11.1961"
"148";"Frau";"";"Mariegret";"Bas";"";"Selmer Straße";"149";"54616";"Winterspelt";"06551/936418";"";"";"m_08@hoster.none";"ja";"22.08.1929"
"149";"Frau";"";"Reintraud";"Gnauck";"";"Hansemannstraße";"74";"70180";"Stuttgart";"0711/35988767";"0167/9729904";"";"r1986@web.none";"ja";"26.07.1995"
"150";"Herr";"";"Eitelbert";"Putz";"";"Boeckelter Weg";"4";"55595";"Bockenau";"";"0176/2372101";"";"e-19@hoster.none";"";"27.07.2019"
"151";"Frau";"";"Anka";"Weihe";"";"Pelzerstraße";"21c";"78194";"Immendingen";"";"0163/8396497";"";"anka-weihe@open-mail.none";"";"02.03.2022"
